"証明機関等種別","証明（認証）種別","氏名又は名称","特定無線設備の種別","型式又は名称","番号","電波の型式、周波数及び空中線電力","年月日","スプリアス規定","周波数等の維持機能","BODYSAR","添付有無","機関名"
"相互承認(MRA)","工事設計認証","ＴＰ－Ｌｉｎｋ　Ｃｏｒｐｏｒａｔｉｏｎ　Ｌｉｍｉｔｅｄ","第２条第１９号に規定する特定無線設備","Ａｒｃｈｅｒ　ＡＸ１８００　Ａｒｃｈｅｒ　ＡＸ２３Ｖ","201-230283","Ｇ１Ｄ　2412～2472ＭＨz（１３Ｃｈ）　9.98mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　2412～2472ＭＨz（１３Ｃｈ）　9.89mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　2412～2472ＭＨz（１３Ｃｈ）　9.62mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　2422～2462ＭＨz（９Ｃｈ）　4.62mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　2412～2472ＭＨz（１３Ｃｈ）　9.77mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　2422～2462ＭＨz（９Ｃｈ）　4.71mＷ／ＭＨz","令和5年8月3日","新スプリアス規定","無","―","有","Kiwa Nederland B.V."
"相互承認(MRA)","工事設計認証","ＴＰ－Ｌｉｎｋ　Ｃｏｒｐｏｒａｔｉｏｎ　Ｌｉｍｉｔｅｄ","第２条第１９号の３に規定する特定無線設備","Ａｒｃｈｅｒ　ＡＸ１８００　Ａｒｃｈｅｒ　ＡＸ２３Ｖ","201-230283","Ｄ１Ｄ，Ｇ１Ｄ　5180～5240ＭＨz（４Ｃｈ）　5.94mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5180～5240ＭＨz（４Ｃｈ）　5.93mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5190～5230ＭＨz（２Ｃｈ）　3.13mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5180～5240ＭＨz（４Ｃｈ）　5.93mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5190～5230ＭＨz（２Ｃｈ）　3.13mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5210～5210ＭＨz　1.55mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5180～5240ＭＨz（４Ｃｈ）　6.24mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5190～5230ＭＨz（２Ｃｈ）　2.96mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5210～5210ＭＨz　1.46mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5260～5320ＭＨz（４Ｃｈ）　6.24mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5260～5320ＭＨz（４Ｃｈ）　6.03mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5270～5310ＭＨz（２Ｃｈ）　3.04mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5260～5320ＭＨz（４Ｃｈ）　6.03mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5270～5310ＭＨz（２Ｃｈ）　3.04mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5290～5290ＭＨz　1.56mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5260～5320ＭＨz（４Ｃｈ）　6.30mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5270～5310ＭＨz（２Ｃｈ）　2.89mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5290～5290ＭＨz　1.52mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5500～5720ＭＨz（１２Ｃｈ）　9.55mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5500～5720ＭＨz（１２Ｃｈ）　9.64mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5510～5710ＭＨz（６Ｃｈ）　4.72mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5500～5720ＭＨz（１２Ｃｈ）　9.64mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5510～5710ＭＨz（６Ｃｈ）　4.72mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5530～5690ＭＨz（３Ｃｈ）　2.37mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5500～5720ＭＨz（１２Ｃｈ）　9.71mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5510～5710ＭＨz（６Ｃｈ）　4.91mＷ／ＭＨzＤ１Ｄ，Ｇ１Ｄ　5530～5690ＭＨz（３Ｃｈ）　2.45mＷ／ＭＨz","令和5年8月3日","新スプリアス規定","無","―","無","Kiwa Nederland B.V."
